City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Butaritari,KI,2022-01-31 13:48:43,3.0707,172.7902,81.61,78,99,18.07
68,Port Elizabeth,ZA,2022-01-31 13:45:27,-33.918,25.5701,77.29,78,0,16.11
69,Quixada,BR,2022-01-31 13:48:43,-4.9714,-39.0153,89.38,46,70,8.28
70,Mataura,NZ,2022-01-31 13:48:44,-46.1927,168.8643,61.48,97,50,1.57
71,Zlobin,HR,2022-01-31 13:48:44,45.2924,14.6541,40.37,83,75,9.22
72,Arraial Do Cabo,BR,2022-01-31 13:48:45,-22.9661,-42.0278,84.16,74,75,6.91
73,Teahupoo,PF,2022-01-31 13:48:45,-17.8333,-149.2667,69.76,78,58,18.61
74,Taltal,CL,2022-01-31 13:48:46,-25.4,-70.4833,67.39,73,8,5.1
75,Avera,US,2022-01-31 13:48:46,33.194,-82.5271,40.51,76,100,7.14
76,Clyde River,CA,2022-01-31 13:44:11,70.4692,-68.5914,-27.17,75,0,5.75
77,Catuday,PH,2022-01-31 13:48:47,16.2923,119.8062,77.22,76,4,9.04
78,Dafeng,CN,2022-01-31 13:48:47,23.4517,108.5881,45.32,89,100,3.29
79,Victor Harbor,AU,2022-01-31 13:48:47,-35.5667,138.6167,76.8,84,0,1.01
80,Paamiut,GL,2022-01-31 13:48:48,61.994,-49.6678,28.72,80,100,25.97
81,Esperance,AU,2022-01-31 13:48:48,-33.8667,121.9,60.64,68,100,17.85
82,Banda Aceh,ID,2022-01-31 13:48:49,5.5577,95.3222,79.68,82,51,10.92
83,Hilo,US,2022-01-31 13:48:06,19.7297,-155.09,68.61,79,100,6.91
84,Bredasdorp,ZA,2022-01-31 13:48:49,-34.5322,20.0403,87.28,64,94,17.67
85,Tromso,NO,2022-01-31 13:45:12,69.6496,18.957,28.42,74,75,5.01
86,Chuy,UY,2022-01-31 13:48:50,-33.6971,-53.4616,81.36,51,4,11.03
87,Hofn,IS,2022-01-31 13:48:50,64.2539,-15.2082,24.82,68,100,8.05
88,Marrakesh,MA,2022-01-31 13:46:47,31.6315,-8.0083,77.07,31,75,5.75
89,Maracas,BR,2022-01-31 13:48:51,-13.4411,-40.4308,77.94,60,52,4.94
90,Sao Filipe,CV,2022-01-31 13:48:51,14.8961,-24.4956,72.12,73,100,2.66
91,Vangaindrano,MG,2022-01-31 13:48:52,-23.35,47.6,80.04,67,0,7.94
92,Yulara,AU,2022-01-31 13:48:52,-25.2406,130.9889,76.84,100,100,12.66
93,Lahij,YE,2022-01-31 13:49:52,13.1667,44.5833,76.71,53,27,11.77
94,Roald,NO,2022-01-31 13:47:36,62.5833,6.1333,35.01,93,75,17.27
95,Pemangkat,ID,2022-01-31 13:49:53,1.1667,108.9667,78.62,80,94,5.37
96,Hasaki,JP,2022-01-31 13:49:53,35.7333,140.8333,37.8,38,0,15.73
97,Kastamonu,TR,2022-01-31 13:49:54,41.5,33.6667,37.42,73,35,4.43
98,Dikson,RU,2022-01-31 13:45:42,73.5069,80.5464,-4.58,94,96,21.07
99,Yerbogachen,RU,2022-01-31 13:45:30,61.2767,108.0108,-9.18,99,98,2.86
100,Kodiak,US,2022-01-31 13:49:55,57.79,-152.4072,17.11,86,0,5.75
101,Ojinaga,MX,2022-01-31 13:49:55,29.5667,-104.4167,46.42,75,0,4.61
102,Karaton,ID,2022-01-31 13:49:55,-6.3424,106.1045,80.76,86,100,1.43
103,Mar Del Plata,AR,2022-01-31 13:49:56,-38.0023,-57.5575,64.42,58,40,20.0
104,Agaro,ET,2022-01-31 13:49:56,7.85,36.65,82.6,24,100,3.49
105,Shumskiy,RU,2022-01-31 13:49:57,54.8318,99.1328,-5.22,98,48,2.82
106,Sobolevo,RU,2022-01-31 13:49:57,54.4299,31.8996,27.5,95,97,4.27
107,Ilulissat,GL,2022-01-31 13:49:58,69.2167,-51.1,10.42,56,75,14.97
108,College,US,2022-01-31 13:49:58,64.8569,-147.8028,-25.02,68,0,0.0
109,Asau,RO,2022-01-31 13:49:59,46.4333,26.4,40.95,50,34,10.45
110,Lata,PT,2022-01-31 13:49:59,40.1629,-8.3327,68.72,38,0,3.98
111,Maniitsoq,GL,2022-01-31 13:49:59,65.4167,-52.9,11.66,66,100,11.3
112,Pokhara,NP,2022-01-31 13:49:36,28.2333,83.9833,52.81,72,100,1.1
113,Pangkalanbuun,ID,2022-01-31 13:50:00,-2.6833,111.6167,75.43,94,100,2.98
114,Guerrero Negro,MX,2022-01-31 13:50:01,27.9769,-114.0611,57.15,79,100,6.46
115,Bambous Virieux,MU,2022-01-31 13:50:01,-20.3428,57.7575,84.45,70,75,12.66
116,Marfino,RU,2022-01-31 13:50:02,55.7028,37.3822,30.45,86,100,8.95
117,Kutum,SD,2022-01-31 13:50:02,14.2,24.6667,70.12,12,25,12.35
118,Bathsheba,BB,2022-01-31 13:50:03,13.2167,-59.5167,79.41,83,40,9.22
119,Kumsi,IN,2022-01-31 13:50:03,14.0667,75.4,74.32,44,0,3.44
120,Copperas Cove,US,2022-01-31 13:46:10,31.1241,-97.9031,54.19,85,100,6.91
121,Lubango,AO,2022-01-31 13:50:04,-14.9172,13.4925,76.82,29,85,10.92
122,Saint George,US,2022-01-31 13:47:32,37.1041,-113.5841,43.54,47,0,0.0
123,Koutsouras,GR,2022-01-31 13:50:05,35.0339,25.9469,56.93,55,6,10.96
124,Maxixe,MZ,2022-01-31 13:50:05,-23.8597,35.3472,84.02,70,40,11.99
125,Cap-Haitien,HT,2022-01-31 13:50:05,19.7578,-72.2042,74.68,78,83,3.11
126,Avarua,CK,2022-01-31 13:49:57,-21.2078,-159.775,73.45,94,20,6.91
127,Luderitz,NA,2022-01-31 13:46:02,-26.6481,15.1594,70.3,76,47,8.75
128,Matara,LK,2022-01-31 13:50:06,5.9485,80.5353,77.81,87,16,7.92
129,Xuddur,SO,2022-01-31 13:50:07,4.1213,43.8894,90.72,21,74,12.62
130,Hualmay,PE,2022-01-31 13:50:07,-11.0964,-77.6139,72.14,80,83,5.7
131,Tazovskiy,RU,2022-01-31 13:50:07,67.4667,78.7,-5.46,100,95,9.13
132,Barrow,US,2022-01-31 13:50:08,71.2906,-156.7887,-5.78,77,40,12.66
133,Tuktoyaktuk,CA,2022-01-31 13:50:08,69.4541,-133.0374,-5.22,97,100,11.5
134,Taupo,NZ,2022-01-31 13:50:09,-38.6833,176.0833,62.24,86,100,2.24
135,Somerset,US,2022-01-31 13:50:09,40.5668,-74.5496,24.89,65,98,1.01
136,Diffa,NE,2022-01-31 13:50:10,13.3154,12.6113,78.12,13,8,16.91
137,Xai-Xai,MZ,2022-01-31 13:51:10,-25.0519,33.6442,83.88,55,49,11.41
138,Tairua,NZ,2022-01-31 13:51:10,-37.0167,175.85,70.09,81,100,10.33
139,Flinders,AU,2022-01-31 13:49:37,-34.5833,150.8552,75.2,85,24,5.99
140,Chokurdakh,RU,2022-01-31 13:50:12,70.6333,147.9167,-24.72,97,27,4.36
141,Eirunepe,BR,2022-01-31 13:51:11,-6.6603,-69.8736,77.65,80,100,2.06
142,Skvyra,UA,2022-01-31 13:51:12,49.7318,29.6657,29.39,85,100,18.14
143,Mollendo,PE,2022-01-31 13:51:12,-17.0231,-72.0147,71.78,70,40,6.93
144,Vardo,NO,2022-01-31 13:51:12,70.3705,31.1107,21.18,79,40,5.75
145,Willowmore,ZA,2022-01-31 13:51:13,-33.2926,23.4895,90.1,31,59,9.26
146,Daokou,CN,2022-01-31 13:51:13,35.5639,114.5058,35.65,27,93,5.55
147,Sao Joao Da Barra,BR,2022-01-31 13:51:14,-21.6403,-41.0511,86.09,76,92,4.5
148,Rimbey,CA,2022-01-31 13:51:14,52.6334,-114.2353,17.44,90,100,24.94
149,Voh,NC,2022-01-31 13:51:14,-20.9667,164.7,74.86,86,67,2.13
150,Lienz,AT,2022-01-31 13:51:15,46.8289,12.769,44.11,75,95,7.25
151,Billings,US,2022-01-31 13:51:15,45.7833,-108.5007,42.57,26,100,12.66
152,Yaan,NG,2022-01-31 13:51:16,7.3833,8.5667,94.8,8,96,10.36
153,Urumqi,CN,2022-01-31 13:51:16,43.801,87.6005,-1.25,85,75,0.0
154,Korla,CN,2022-01-31 13:51:17,41.7597,86.1469,26.87,51,100,4.99
155,Ripon,GB,2022-01-31 13:51:17,54.1352,-1.5212,47.08,57,20,13.8
156,Anchorage,US,2022-01-31 13:51:17,61.2181,-149.9003,20.32,87,100,0.0
157,Cidreira,BR,2022-01-31 13:51:18,-30.1811,-50.2056,79.79,60,5,2.68
158,Georgetown,MY,2022-01-31 13:51:01,5.4112,100.3354,85.95,65,20,2.3
159,Niquelandia,BR,2022-01-31 13:48:26,-14.4739,-48.4597,77.05,82,73,4.07
160,Utrecht,NL,2022-01-31 13:47:38,52.0,5.25,45.09,89,100,11.99
161,Ancud,CL,2022-01-31 13:51:19,-41.8697,-73.8203,56.73,61,11,2.46
162,Buala,SB,2022-01-31 13:47:47,-8.145,159.5921,79.77,81,76,4.38
163,Lucapa,AO,2022-01-31 13:51:19,-8.4192,20.7447,78.04,74,87,4.36
164,Brusturoasa,RO,2022-01-31 13:51:20,46.5167,26.2,36.88,68,34,9.35
165,Aitape,PG,2022-01-31 13:51:20,-3.1374,142.3475,75.67,92,100,8.93
166,Santa Rita,BR,2022-01-31 13:51:20,-7.1139,-34.9781,86.67,66,75,13.8
